Feature	Gain	Cover	Frequency	pos
mtarjeta_master_consumo_rank	0.00127842906576516	0.00293256030161865	0.00100688034905185	59
mcaja_ahorro_rank_lag2	0.00127188035233781	0.00216875155687805	0.00176204061084075	60
mactivos_margen_rank_lag1	0.0012661014097803	0.0016403350301189	0.00125860043631482	61
ccomisiones_mantenimiento_max3	0.00126573193448348	0.00280138534973668	0.00134250713206914	62
mcuenta_corriente_rank_lag2	0.00121328294643739	0.00179610456851901	0.00192985400234939	63
cprestamos_personales	0.00119644594052864	0.00486031014760136	0.00167813391508642	64
mplazo_fijo_dolares_rank	0.00119636762387666	0.00530366657220005	0.0015942272193321	65
mrentabilidad_annual_rank_lag1	0.001150679215956	0.000772595803170121	0.00151032052357778	66
ccaja_ahorro_max3	0.00112839766772677	0.000394901418324149	0.000755160261788891	67
mcomisiones_rank_delta2	0.00112389010312083	0.0002684182509039	0.000922973653297533	68
vmr_msaldototal	0.00111425004152183	0.000490320154638463	0.000755160261788891	69
ccomisiones_mantenimiento	0.00104458125060815	0.00244059974312193	0.0011746937405605	70
mcaja_ahorro_rank_lag1	0.00102273163017307	0.000678404501910583	0.00142641382782346	71
mrentabilidad_rank_delta2	0.000977767048570206	0.000285831768783814	0.0011746937405605	72
mtarjeta_visa_consumo_rank_delta1	0.000954301348335253	0.000932712985362378	0.000839066957543212	73
ctrx_quarter_lag1	0.000947056182184138	0.000690873865504435	0.0011746937405605	74
Visa_msaldopesos_rank	0.000924080149116587	0.000841458351149783	0.00142641382782346	75
canarito668	0.000918289603914173	0.00200211864467539	0.00184594730659507	76
mpasivos_margen_rank_lag1	0.000906898420220133	0.000425231682668347	0.00109078704480618	77
ccomisiones_otras_avg3	0.000903199885222134	0.000525904299871332	0.00100688034905185	78
canarito913	0.000900850343384133	0.00331724074205676	0.00176204061084075	79
cliente_edad	0.00089925378869767	0.000390324347418954	0.00109078704480618	80
cpayroll_trx_ratioavg3	0.000892600070132872	0.00163284423487807	0.000922973653297533	81
mpayroll_rank_delta2	0.000890569583253315	0.00290268889150053	0.00142641382782346	82
mrentabilidad_rank	0.00088696443633464	0.000419369819930115	0.00100688034905185	83
mcomisiones_mantenimiento_rank_delta2	0.000882307191363753	0.000141992440261912	0.000839066957543212	84
chomebanking_transacciones_delta1	0.000880439281801506	0.00300307472481222	0.00151032052357778	85
ctrx_quarter_normalizado_delta1	0.000869755185868395	0.000316552059220185	0.00067125356603457	86
mcomisiones_otras_rank_delta1	0.000869576528198091	0.00331227364505939	0.00151032052357778	87
ccaja_seguridad_min3	0.000866036574210972	0.000386492914631146	0.000335626783017285	88
mcuentas_saldo_rank_lag2	0.000862400194797901	0.0029158006510109	0.00142641382782346	89
mcuentas_saldo_rank_delta1	0.000830252504911483	0.0015455128042985	0.00134250713206914	90
ccomisiones_otras_min3	0.000822252802667748	0.000492602954413234	0.000755160261788891	91
mtransferencias_recibidas_rank_delta2	0.000817700557069019	0.000533544222735642	0.00125860043631482	92
canarito503	0.000812690295741646	0.00125734087896165	0.00151032052357778	93
mv_status07_rank_delta2	0.000800568930459139	0.000557014616399875	0.000335626783017285	94
ccallcenter_transacciones_delta1	0.000796851992657402	0.00274031185224481	0.00125860043631482	95
cdescubierto_preacordado	0.000794119253172953	0.00497317681586254	0.0011746937405605	96
canarito1085	0.000786973167363555	0.00160615039027559	0.0015942272193321	97
vmr_msaldototal_lag2	0.000783858233393011	0.00130126469975361	0.00109078704480618	98
