fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 121128	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	539	1	1	1	0.1	50	0.5	FALSE	309367	0.0226459407154657	0.520497633383656	0.266895625603571	5.60971092423913	0.0178187949522016	17331	13978000	43
20221029 121153	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	1	0.1	50	0.5	FALSE	309367	0.179489873619794	0.358840687337052	0.118443537213525	5.71178590928204	0.0211953359109566	16251	14618000	44
20221029 121332	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	534	1	1	1	0.1	50	0.5	FALSE	309367	0.0145451929818001	0.596415882364335	0.218230899248866	8.2327599336158	0.00939132038607105	18120	12800000	45
20221029 121352	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	0.1	50	0.5	FALSE	309367	0.261438444917847	0.225990766777331	0.416820374639775	3.57697271070769	0.0256411584328178	16471	14178000	46
20221029 121424	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	28	1	1	1	0.1	50	0.5	FALSE	309367	0.196294623508577	0.582916441112338	0.93933007890085	7.05111592342262	0.0226626312695224	16576	14288000	47
20221029 121526	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	421	1	1	1	0.1	50	0.5	FALSE	309367	0.0353329006890859	0.4600147611605	0.962188789714628	3.9294271233303	0.0261653472139301	13440	17840000	48
20221029 121625	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1136	1	1	1	0.1	50	0.5	FALSE	309367	0.0935766721070185	0.622664722057758	0.796114066046826	1.17151770183328	0.0218995288089768	15651	11498000	49
20221029 121655	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	0.1	50	0.5	FALSE	309367	0.243885671584413	0.432210760262609	0.618681332033197	8.2527572203055	0.0115863493854659	16185	13390000	50
20221029 121820	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1261	1	1	1	0.1	50	0.5	FALSE	309367	0.143411468075069	0.230633810530137	0.320972962432133	1.45882382402383	0.0206092132587582	17887	8706000	51
20221029 121906	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	0.1	50	0.5	FALSE	309367	0.111279267518644	0.637657806041883	0.890999300299969	6.15544190719328	0.000607390312619249	14321	14478000	52
20221029 121936	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	0.1	50	0.5	FALSE	309367	0.163739250871751	0.478011640159553	0.655508388836554	6.92680071225273	0.031235524870913	15266	15468000	53
20221029 122000	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	0.1	50	0.5	FALSE	309367	0.148735514324936	0.750136605364783	0.397180767004052	7.04405966549716	0.0192100967486377	15861	14678000	54
20221029 122043	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	0.1	50	0.5	FALSE	309367	0.207289544212208	0.709142413468706	0.776152190771268	10.0986954961277	2.0352775955181e-05	16568	13264000	55
20221029 122134	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	248	1	1	1	0.1	50	0.5	FALSE	309367	0.152437333414587	0.291629152141511	0.85421549340738	9.34530306893564	1.34521422184132e-05	14556	16568000	56
20221029 122156	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	74	1	1	1	0.1	50	0.5	FALSE	309367	0.220810693337624	0.739962547504297	0.455773956686177	5.67762521663774	0.0146600385160988	14779	14602000	57
20221029 122259	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	653	1	1	1	0.1	50	0.5	FALSE	309367	0.239315222343858	0.455572265130095	0.290562065420055	3.08717607410229	0.0176017142072796	18255	10930000	58
20221029 122334	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	0.1	50	0.5	FALSE	309367	0.183596610486133	0.448687217658432	0.803174444976158	8.8157796327963	0.0257219855255622	15076	15528000	59
20221029 122504	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	411	1	1	1	0.1	50	0.5	FALSE	309367	0.0773375193732162	0.391835742823593	0.687462925734057	10.2771523705723	3.90810513533842e-06	16603	15034000	60
20221029 122527	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	0.1	50	0.5	FALSE	309367	0.235243219407217	0.614662871279521	0.828729857430281	5.66766032699356	0.016617597124636	17895	12210000	61
20221029 122603	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	80	1	1	1	0.1	50	0.5	FALSE	309367	0.231446308203901	0.392904424690176	0.182493596750661	11.6662111685041	2.78849300902211e-05	15209	15182000	62
20221029 122642	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	0.1	50	0.5	FALSE	309367	0.246139168758844	0.381380526996544	0.417878495456302	10.4373916885785	0.000120096463489717	15285	15670000	63
20221029 122852	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1410	1	1	1	0.1	50	0.5	FALSE	309367	0.0188360168160428	0.468664149546065	0.526040402197547	2.53037143982993	0.0198946285446851	17448	11584000	64
20221029 122923	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	0.1	50	0.5	FALSE	309367	0.0756069281133683	0.58981850549099	0.118329304195999	7.48290513896197	0.016026240030196	18307	12426000	65
20221029 122957	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	207	1	1	1	0.1	50	0.5	FALSE	309367	0.19314264260476	0.451596623524046	0.36895583884191	3.25906029527402	0.0186089953356481	17365	12310000	66
20221029 123019	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	0.1	50	0.5	FALSE	309367	0.271351350159985	0.29888292624969	0.336702589606086	5.72956630523736	0.0347370449505906	17877	13446000	67
20221029 123101	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	309367	0.153859339053361	0.695623030500067	0.175658413230756	11.7981976444223	3.54302061017269e-06	14906	15548000	68
20221029 123312	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1645	1	1	1	0.1	50	0.5	FALSE	309367	0.0371600067916908	0.407931232037256	0.988052172174945	1.44859055011021	0.0270470858919641	15596	11608000	69
20221029 123426	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	255	1	1	1	0.1	50	0.5	FALSE	309367	0.0504811917463248	0.286865029552858	0.4133825163431	10.3139125545642	0.00175274182662212	16611	16218000	70
20221029 123529	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	0.1	50	0.5	FALSE	309367	0.0838962261019251	0.563683185606543	0.715061607906292	6.43661370326881	0.000704996267540176	15382	12996000	71
20221029 123557	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	0.1	50	0.5	FALSE	309367	0.234708787132252	0.565283947756421	0.654964003168838	6.68768632027879	0.0478178554520665	14777	15806000	72
20221029 123655	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	0.1	50	0.5	FALSE	309367	0.0824159243772575	0.536904136089096	0.570820017863589	3.18365630446468	0.0198497607672248	17456	13168000	73
20221029 123801	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1402	1	1	1	0.1	50	0.5	FALSE	309367	0.0770796325068409	0.675861405133642	0.0604807245911565	5.11610779463896	0.0158014893235649	18848	11104000	74
