fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221018 023515	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1652	1	1	1	0.1	50	0.5	FALSE	309367	0.0263326044172089	0.286058721920798	466	656	5.44134573097651e-06	12029	19942000	34
20221018 024759	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	943	1	1	1	0.1	50	0.5	FALSE	309367	0.0189836909360152	0.369746484987538	59	814	6.004636536275e-05	12637	19286000	35
20221018 025745	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1085	1	1	1	0.1	50	0.5	FALSE	309367	0.0188565048756586	0.283218578786018	2451	794	0.0143437228301489	12377	19806000	36
20221018 032639	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2527	1	1	1	0.1	50	0.5	FALSE	309367	0.00846804504643555	0.299659564880961	26	1543	2.49822403169996e-06	12264	20032000	37
20221018 035227	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2588	1	1	1	0.1	50	0.5	FALSE	309367	0.00503893409295092	0.337731079175558	2027	1396	0.0142532051670758	14584	19152000	38
20221018 041753	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2338	1	1	1	0.1	50	0.5	FALSE	309367	0.0157295388761132	0.312298860194148	147	1729	1.16853278820067e-06	13562	18876000	39
20221018 043029	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1138	1	1	1	0.1	50	0.5	FALSE	309367	0.0168943604177679	0.282460706387648	2	736	6.16661447069501e-05	12341	19958000	40
20221018 044814	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1765	1	1	1	0.1	50	0.5	FALSE	309367	0.0225219083205164	0.318260549031392	319	768	2.93798686849388e-06	12526	19988000	41
20221018 050842	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2209	1	1	1	0.1	50	0.5	FALSE	309367	0.0188876471713617	0.302190937723309	511	542	9.10790932620709e-06	13620	18920000	42
20221018 053027	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1597	1	1	1	0.1	50	0.5	FALSE	309367	0.021075403539878	0.55161134996461	28	1871	7.40268999037627e-07	13159	19442000	43
20221018 053828	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	951	1	1	1	0.1	50	0.5	FALSE	309367	0.0377552309294426	0.24787625332655	50	363	7.9507769122735e-05	13591	18658000	44
20221018 055727	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1848	1	1	1	0.1	50	0.5	FALSE	309367	0.00517941792693937	0.252353567475516	1086	1575	0.0156772755225098	13035	20010000	45
20221018 060610	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	795	1	1	1	0.1	50	0.5	FALSE	309367	0.0199091874906709	0.301045799001515	1281	908	0.00559370061430408	15911	17298000	46
20221018 062049	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2529	1	1	1	0.1	50	0.5	FALSE	309367	0.0204563012889112	0.200514065977501	6957	712	0.0110611156315005	15995	17210000	47
20221018 063950	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1043	1	1	1	0.1	50	0.5	FALSE	309367	0.00508946357393846	0.273855420213438	320	1333	0.011794138231644	14509	18342000	48
20221018 070513	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1778	1	1	1	0.1	50	0.5	FALSE	309367	0.0204971024004765	0.440409547010079	171	1500	9.11343595814984e-07	15169	17582000	49
20221018 072921	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3634	1	1	1	0.1	50	0.5	FALSE	309367	0.00897600732476569	0.253415287383085	5281	1570	0.015989474363872	13355	19850000	50
20221018 075610	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2885	1	1	1	0.1	50	0.5	FALSE	309367	0.00660735706431319	0.369282419571902	2636	1683	0.0120889951500065	14347	18986000	51
20221018 080703	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1073	1	1	1	0.1	50	0.5	FALSE	309367	0.0327215169563149	0.278069993714633	271	714	5.6498856082556e-06	12454	19412000	52
20221018 083022	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2733	1	1	1	0.1	50	0.5	FALSE	309367	0.00544549620803732	0.273723710456719	2324	420	0.012791919750425	15493	18294000	53
20221018 084059	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1441	1	1	1	0.1	50	0.5	FALSE	309367	0.0149910314626245	0.206501522874343	2664	1444	0.012088573179151	14077	18966000	54
20221018 092128	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4680	1	1	1	0.1	50	0.5	FALSE	309367	0.00655108553611234	0.427905259503089	4449	767	0.00987115896427425	15840	16880000	55
20221018 092654	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	363	1	1	1	0.1	50	0.5	FALSE	309367	0.0213895572100625	0.271102252143304	1064	1531	0.0152140795714628	14863	18274000	56
20221018 093936	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1781	1	1	1	0.1	50	0.5	FALSE	309367	0.0424166142748307	0.279347684270141	4417	685	0.00232553026649224	13766	18228000	57
20221018 095219	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1402	1	1	1	0.1	50	0.5	FALSE	309367	0.00840620878239059	0.200216685649012	1137	1685	0.011141649329327	14161	18878000	58
20221018 101642	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2511	1	1	1	0.1	50	0.5	FALSE	309367	0.0175053539586268	0.544959418551263	4585	2047	0.00487611751704273	17416	15648000	59
20221018 102846	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	692	1	1	1	0.1	50	0.5	FALSE	309367	0.0288683232523529	0.606184741618564	59	1843	4.11121616654108e-06	11938	20844000	60
20221018 104733	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1347	1	1	1	0.1	50	0.5	FALSE	309367	0.0333146003817632	0.560622010822954	562	1839	3.93554040431839e-06	12508	19864000	61
20221018 105850	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	815	1	1	1	0.1	50	0.5	FALSE	309367	0.0268348929327119	0.708375998533392	12	1829	1.13564584222832e-06	14435	18490000	62
20221018 111450	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1230	1	1	1	0.1	50	0.5	FALSE	309367	0.0277921579513361	0.581474314953107	1099	1772	0.000284971514515925	13717	19206000	63
20221018 113500	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1693	1	1	1	0.1	50	0.5	FALSE	309367	0.030318861767174	0.612179138445796	275	1933	1.06862386631331e-06	11584	19792000	64
20221018 114745	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1199	1	1	1	0.1	50	0.5	FALSE	309367	0.0385139536089423	0.620181271308311	933	1827	1.75332183558138e-05	14527	17506000	65
20221018 120503	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1254	1	1	1	0.1	50	0.5	FALSE	309367	0.0294233901880482	0.414069822181032	236	1858	2.1879532326941e-06	12161	19998000	66
