Feature	Gain	Cover	Frequency
mextraccion_autoservicio_tend6	0.00158095020557502	0.0011565494936096	0.00154658658630889
Visa_mpagospesos_tend6	0.00157724021743393	0.00291013200117642	0.00262676981867486
Master_mfinanciacion_limite_lag1	0.00155621002239835	0.000796130967920655	0.00242564420879612
mcaja_ahorro_dolares_delta1	0.00154914460244312	0.00320457746936056	0.00237969740998762
cproductos_tend6	0.00154026975955997	0.0043218605859518	0.00177545365961918
Visa_mfinanciacion_limite_avg6	0.00153965654162913	0.0010083036689401	0.00277588018461944
Visa_mpagominimo_avg6	0.00153287000591518	0.000891188058784725	0.00160900487902988
ctarjeta_debito_transacciones_tend6	0.00152532203326187	0.00100168096483824	0.00199651844633934
vmr_Master_mlimitecompra	0.00151941118397346	0.00117813130088881	0.00257822225766965
mttarjeta_visa_debitos_automaticos_tend6	0.00151603237208674	0.00273761322476237	0.00196964390364003
mttarjeta_visa_debitos_automaticos_delta1	0.00151419126887192	0.00206652970348878	0.00150410747042933
mtransferencias_recibidas	0.00149654279743024	0.00221083389097003	0.00200345381219723
vmr_Visa_mlimitecompra	0.00149560645428363	0.000841057058645115	0.00213175808056815
mrentabilidad_delta1	0.00149383495139853	0.00244864680461063	0.00527868033858456
Visa_fechaalta_avg6	0.00149120397399173	0.00158685664380343	0.00298654192255277
vmr_mpagado_avg6	0.00147508316811546	0.00167824886502304	0.00132985640324991
mcomisiones_otras_lag1	0.00146794433000417	0.00131212586085112	0.00265451128210641
mcomisiones_mantenimiento_avg6	0.00146396188414391	0.00215229602191859	0.00341133308134837
Visa_mpagospesos_avg6	0.00146255514685283	0.000984299597959725	0.00166535472662522
vm_mfinanciacion_limite	0.00145597185752924	0.000461440431788916	0.00170089847664689
vm_fechaalta_lag1	0.00145226324539519	0.000978339675448211	0.0030090818615909
cdescubierto_preacordado_lag1	0.0014436786930231	0.000492955345886331	0.000552228506434286
mtransferencias_recibidas_tend6	0.00143216235345808	0.00230416355802189	0.00375116600838486
Visa_mpagospesos_lag1	0.0014291570610059	0.00122344026555313	0.00162894405587131
ccallcenter_transacciones	0.00141803535029216	0.00366555097458615	0.000779361738280099
Visa_cconsumos	0.00140980695458697	0.000810807169392296	0.00114260152508695
ctarjeta_debito_lag1	0.00140641100384184	0.00101627676497328	0.00155959039729243
ccomisiones_otras	0.00138579369550935	0.00206697881177223	0.00186648033650395
mcuenta_debitos_automaticos	0.00138470252913029	0.00174324330462434	0.00107498170797255
mcuenta_debitos_automaticos_lag1	0.00137944631006772	0.0013674358462692	0.00106544557991795
mprestamos_personales_delta1	0.00137362302359105	0.00462489242030968	0.00141914923867021
ctarjeta_visa_debitos_automaticos_tend6	0.00136597563566222	0.00129941040042188	0.00142695152526034
mcomisiones_mantenimiento_lag1	0.00136098798638855	0.00199522050931917	0.00183093658648228
vmr_msaldopesos2	0.00135960520642467	0.00204125440047615	0.00187688338529078
ccomisiones_otras_lag1	0.00135008261634213	0.00111493212600953	0.00180666280597967
vm_mfinanciacion_limite_tend6	0.00134804388253686	0.000996985117836739	0.00322841280684659
vm_mfinanciacion_limite_avg6	0.00133944586831153	0.000503353261521479	0.0015708603668115
mttarjeta_visa_debitos_automaticos_lag1	0.00133724454107054	0.000828070526679581	0.00094927820179834
mcuenta_debitos_automaticos_tend6	0.00133042573505507	0.00182332464244299	0.00164628247051603
mautoservicio_avg6	0.00130785140133914	0.003120850832795	0.00193236631215388
matm_avg6	0.00130396412919516	0.000923887815467351	0.00123362820197172
vmr_msaldototal_tend6	0.00129384941249782	0.00148301433768336	0.00155092118997007
Visa_msaldototal_avg6	0.00129326837820904	0.000579570880613421	0.0010593771347923
vm_fechaalta_avg6	0.00129170220032292	0.00131087105960973	0.00312178155678157
Visa_mpagominimo_delta1	0.0012898409038507	0.00108758778478632	0.00168356006200217
vmr_msaldopesos2_tend6	0.00127920613585109	0.00138025047564949	0.00230427530628309
mautoservicio	0.0012779997009464	0.00219743841487648	0.00104984100673771
Master_mfinanciacion_limite_avg6	0.0012770889925652	0.000826095399566966	0.0024395149405119
cproductos_delta1	0.00127334556783498	0.00443834065311678	0.000514083994215905
Visa_mfinanciacion_limite	0.00126101918912855	0.00112531492531709	0.00321800975805976
Master_mlimitecompra_avg6	0.00125900227609816	0.000648673821212344	0.00184307347673358
vmr_Master_mlimitecompra_lag1	0.0012579466115458	0.00100082685581657	0.00202079222684195
cextraccion_autoservicio_avg6	0.00125717987011036	0.00088519797664377	0.00127697423858352
Visa_mfinanciacion_limite_lag1	0.00125615221859015	0.000913227299281422	0.00263457210526498
ccajas_consultas_avg6	0.00124993406743436	0.00116304732370094	0.00105764329332783
vmr_msaldopesos2_avg6	0.00124913694530603	0.000804101362001563	0.00181966661696321
vm_mfinanciacion_limite_delta1	0.00124794801219862	0.000542400707379869	0.00228173536724496
cprestamos_personales_lag1	0.00124481321958716	0.00208687730278447	0.000790631707799166
vmr_Visa_mlimitecompra_lag1	0.00124453468307099	0.000893470624250729	0.00181359817183756
vm_fultimo_cierre_avg6	0.00124033430404368	0.000737266381721214	0.00203292911709325
ctarjeta_debito_transacciones_delta1	0.00123979360820831	0.0011621867884144	0.00101169649451933
ccajas_transacciones_tend6	0.00123032439251813	0.00179935679222824	0.00156305808022138
vm_mconsumospesos_avg6	0.00122676479167042	0.000636078488120706	0.0010038942079292
Visa_mpagominimo	0.00122670887029283	0.000794782547684236	0.00131685259226637
mttarjeta_visa_debitos_automaticos	0.00122505337843987	0.00119977233204084	0.0011460692080159
mtransferencias_recibidas_delta1	0.00121427010862114	0.00145439496708956	0.00256435152595387
vm_mpagospesos_tend6	0.00120839049759214	0.00197703388763714	0.00189508872066774
Visa_mlimitecompra_delta1	0.00120108212403865	0.000952849384665422	0.00295533277619228
cprestamos_personales_avg6	0.00120030032181962	0.00200386127966709	0.00146682987894319
mcuenta_debitos_automaticos_avg6	0.00119484927651899	0.00198806121210076	0.00149890594603592
Master_fultimo_cierre_avg6	0.00119019938999082	0.00114383819564737	0.00200778841585841
vmr_mpagado_tend6	0.00117534054852581	0.00085763645687828	0.00127524039711905
ccaja_ahorro	0.00116934136547757	0.00224480962635783	0.000612912957690801
Master_mlimitecompra	0.00116194929613139	0.000720607750563244	0.00229127149529956
Visa_msaldopesos_delta1	0.00115752979209954	0.00107912957878127	0.00152317972653852
vm_mconsumospesos_tend6	0.00115087139945917	0.000839207827903342	0.0013246548788565
vmr_Master_mlimitecompra_avg6	0.00113641395893605	0.00142630496006434	0.00224445777575882
vmr_mpagospesos_avg6	0.00113152677936149	0.000836599056469503	0.00107238094577584
mcomisiones_otras_delta1	0.00112927136781158	0.00153904107071154	0.00286603994077198
